rank_name,position,seat
THIẾU TƯỚNG NGUYỄN VIẾT HOÀNG,NGUYÊN PHÓ TMT QUÂN KHU,F18
THIẾU TƯỚNG PHẠM NGỌC TÍNH,NGUYÊN PHÓ TMT QUÂN KHU,F20
THIẾU TƯỚNG TRƯƠNG HỒNG QUANG,NGUYÊN PHÓ TMT QUÂN KHU,F22
ĐẠI TÁ TRƯƠNG QUANG NHẠN,NGUYÊN PHÓ TMT QUÂN KHU,F24
ĐẠI TÁ LÊ XUÂN THỊNH,NGUYÊN PHÓ TMT QUÂN KHU,F26
ĐẠI TÁ ĐOÀN VĂN TÂM,NGUYÊN PHÓ TMT QUÂN KHU,F28
ĐẠI TÁ TRẦN VĂN LÝ,NGUYÊN PHÓ TMT QUÂN KHU,F30
ĐẠI TÁ NGUYỄN VĂN CHƯỚC,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F32
ĐẠI BIỂU CỤC QUÂN NHU,,G1
ĐẠI BIỂU CỤC DOANH TRẠI,,G3
ĐẠI BIỂU CỤC QUÂN Y,,G5
ĐẠI BIỂU CỤC CHÍNH SÁCH XÃ HỘI,,G7
ĐẠI BIỂU CỤC DÂN VẬN,,G9
ĐẠI BIỂU CỤC TỔ CHỨC,,G11
ĐẠI BIỂU CỤC CÁN BỘ,,G13
ĐẠI BIỂU CỤC TUYÊN HUẤN,,G15
ĐẠI TÁ LƯƠNG KẾ ĐIỀM,CHỦ NHIỆM HC-KT QUÂN KHU,G17
ĐẠI TÁ DƯƠNG HOÀNG TOÁN,PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,G19
ĐẠI BIỂU BỘ TƯ LỆNH CẢNH SÁT BIỂN VÙNG 2,CẢNH SÁT BIỂN VIỆT NAM,G21
ĐẠI BIỂU SƯ ĐOÀN KQ372,QUÂN CHỦNG PK-KQ,G23
ĐẠI TÁ TRẦN ANH TUẤN,PHÓ CHỦ NHIỆM HC-KT QUÂN KHU,G25
ĐẠI TÁ VÕ TẤN KHANH,PHÓ CHỦ NHIỆM HC-KT QUÂN KHU,G27
ĐẠI TÁ TRẦN VĂN THIÊN,PHÓ CHỦ NHIỆM HC-KT QUÂN KHU,G29
ĐẠI TÁ CAO VĂN MƯỜI,PHÓ TMT QUÂN KHU,G31
ĐẠI BIỂU BINH CHỦNG PHÁO BINH - TÊN LỬA,,G2
ĐẠI BIỂU BỘ TƯ LỆNH BỘ ĐỘI BIÊN PHÒNG,,G4
ĐẠI BIỂU BỘ TƯ LỆNH CẢNH SÁT BIỂN,,G6
ĐẠI BIỂU BỘ TƯ LỆNH TÁC CHIẾN KHÔNG GIAN MẠNG,,G8
ĐẠI BIỂU THANH TRA BỘ QUỐC PHÒNG,,G10
ĐẠI BIỂU CỤC ĐT - HS BỘ QUỐC PHÒNG,,G12
ĐẠI BIỂU CỤC THI HÀNH ÁN BỘ QUỐC PHÒNG,,G14
ĐẠI BIỂU VIỆN KIỂM SÁT QUÂN SỰ TRUNG ƯƠNG,,G16
ĐẠI TÁ PHAN VĂN HẠNG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,G18
ĐẠI TÁ TRẦN MINH CHÍN,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,G20
ĐẠI TÁ TRỊNH VĂN TÂM,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,G22
ĐẠI TÁ TRẦN PHƯỚC NHA,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,G24
ĐẠI TÁ ĐOÀN HỒNG CHƯƠNG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,G26
ĐẠI TÁ DƯƠNG HỮU QUYÊN,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,G28
ĐẠI TÁ TRƯƠNG VĂN GÒN,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,G30
ĐẠI TÁ DƯƠNG XUÂN DẦN,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,G32
ĐẠI BIỂU CỤC KỸ THUẬT BINH CHỦNG,,H1
ĐẠI BIỂU CỤC XE MÁY VẬN TẢI,,H3
ĐẠI BIỂU CỤC XĂNG DẦU,,H5
ĐẠI BIỂU CỤC QUÂN KHÍ,,H7
ĐẠI BIỂU BAN CƠ YẾU CHÍNH PHỦ,,H9
ĐẠI BIỂU TRUNG TÂM NHIỆT ĐỚI VIỆT NGA,,H11
ĐẠI BIỂU BỆNH VIỆN QUÂN Y 175,,H13
ĐẠI BIỂU BỆNH VIỆN TRUNG ƯƠNG QUÂN ĐỘI 108,,H15
ĐẠI BIỂU BỘ TƯ LỆNH VÙNG 3 HẢI QUÂN,QUÂN CHỦNG HẢI QUÂN,H17
ĐẠI BIỂU BỘ TƯ LỆNH VÙNG 4 HẢI QUÂN,QUÂN CHỦNG HẢI QUÂN,H19
ĐẠI BIỂU SƯ ĐOÀN PK375,QUÂN CHỦNG PK-KQ,H21
ĐẠI BIỂU CỤC 11,TỔNG CỤC II,H23
ĐẠI BIỂU TRUNG TÂM 386,BỘ TƯ LỆNH 86,H25
ĐẠI TÁ TRẦN KIM QUYỀN,CHÍNH ỦY CỤC HC-KT,H27
ĐẠI TÁ LÊ THÀNH TÔN,PHÓ CHỦ NHIỆM HC-KT QUÂN KHU,H29
ĐẠI TÁ ĐỖ XUÂN HÙNG,PHÓ TMT QUÂN KHU,H31
ĐẠI BIỂU BINH CHỦNG TĂNG THIẾT GIÁP,,H2
ĐẠI BIỂU BÌNH CHỦNG ĐẶC CÔNG,,H4
ĐẠI BIỂU CỤC TIÊU CHUẨN ĐO LƯỜNG CHẤT LƯỢNG,,H6
ĐẠI BIỂU LÃNH ĐẠO CÔNG AN TỈNH KHÁNH HÒA,,H8
ĐẠI BIỂU LÃNH ĐẠO CÔNG AN TỈNH ĐĂK LĂK,,H10
ĐẠI BIỂU LÃNH ĐẠO CÔNG AN TỈNH GIA LAI,,H12
ĐẠI BIỂU LÃNH ĐẠO CÔNG AN TỈNH QUẢNG NGÃI,,H14
ĐẠI BIỂU LÃNH ĐẠO CÔNG AN THÀNH PHỐ ĐÀ NẴNG,,H16
ĐẠI TÁ NGUYỄN HỮU CHỈNH,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,H18
ĐẠI TÁ LÊ VĂN HẢI,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,H20
ĐẠI TÁ HUỲNH CAO THIỆN,NGUYÊN PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,H22
ĐẠI TÁ TẠ KÍNH,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,H24
ĐẠI TÁ TÔN THẤT HẢI,NGUYÊN PHÓ CHỦ NHIỆM HẬU CẦN QUÂN KHU,H26
ĐẠI TÁ NGUYỄN TRUNG KHANH,NGUYÊN PHÓ CHỦ NHIỆM HẬU CẦN QUÂN KHU,H28
ĐẠI TÁ DƯƠNG CÔNG TRI,NGUYÊN PHÓ CHỦ NHIỆM HẬU CẦN QUÂN KHU,H30
ĐẠI TÁ PHẠM ĐỨC DŨNG,NGUYÊN PHÓ CHỦ NHIỆM HẬU CẦN QUÂN KHU,H32
ĐẠI BIỂU LÃNH ĐẠO ĐÀI TIẾNG NÓI VIỆT NAM VOV KV MIIỀN TRUNG,,I1
ĐẠI BIỂU LÃNH ĐẠO ĐÀI TRUYỀN HÌNH VIỆT NAM VTV8,,I3
ĐẠI BIỂU LÃNH ĐẠO BÁO QUÂN ĐỘI NHÂN DÂN,,I5
ĐẠI BIỂU LÃNH ĐẠO CỔNG THÔNG TIN ĐIỆN TỬ CHÍNH PHỦ,,I7
ĐẠI BIỂU LÃNH ĐẠO VIỆN Y HỌC CỔ TRUYỀN QUÂN ĐỘI,,I9
ĐẠI BIỂU LÃNH ĐẠO BÁO NHÂN DÂN,,I11
ĐẠI BIỂU LÃNH ĐẠO KÊNH TRUYỀN HÌNH QUỐC PHÒNG VIỆT NAM,,I13
ĐẠI BIỂU LÃNH ĐẠO THÔNG TẤN XÃ VIỆT NAM,,I15
ĐẠI BIỂU TỔNG CÔNG TY ĐẦU TƯ PHÁT TRIỂN NHÀ VÀ ĐÔ  THỊ,,I17
ĐẠI BIỂU CÔNG TY ỨNG DỤNG KỸ THUẬT VÀ SẢN XUẤT,,I19
ĐẠI BIỂU TỔNG CÔNG TY XUẤT NHẬP KHẨU TỔNG HỢP VẠN XUÂN,,I21
ĐẠI BIỂU TỔNG CÔNG TY THÁI SƠN,,I23
ĐẠI BIỂU TỔNG CÔNG TY 36 CÔNG TY CỔ PHẦN,,I25
ĐẠI BIỂU TỔNG CÔNG TY XÂY DỰNG LŨNG LÔ,,I27
ĐẠI BIỂU TẬP ĐOÀN CÔNG NGHIỆP VIỄN THÔNG QUÂN ĐỘI,,I29
ĐẠI BIỂU NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN QUÂN ĐỘI,,I31
ĐẠI BIỂU BINH CHỦNG CÔNG BINH,,I2
ĐẠI BIỂU BINH CHỦNG HÓA HỌC,,I4
ĐẠI BIỂU BINH CHỦNG THÔNG TIN LIÊN LẠC,,I6
ĐẠI BIỂU HỌC VIỆN KHOA HỌC QUÂN SỰ,,I8
ĐẠI BIỂU HỌC VIỆN QUỐC PHÒNG,,I10
ĐẠI BIỂU HỌC VIỆN LỤC QUÂN,,I12
ĐẠI BIỂU HỌC VIỆN CHÍNH TRỊ,,I14
ĐẠI BIỂU TRƯỜNG SỸ QUAN CHÍNH TRỊ,,I16
ĐẠI TÁ VÕ HOÀI NAM,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,I18
ĐẠI TÁ NGUYỄN LÊN,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,I20
ĐẠI TÁ NGÔ TẤN NHẤT,NGUYÊN CHÍNH ỦY CỤC HẬU CẦN QUÂN KHU,I22
ĐẠI TÁ NGÔ TIẾN SỸ,NGUYÊN CHỦ NHIỆM HẬU CẦN QUÂN KHU,I24
ĐẠI TÁ LÊ QUANG TRÌNH,NGUYÊN CHÍNH ỦY CỤC HẬU CẦN QUÂN KHU,I26
ĐẠI TÁ TRẦN CÔNG MẠNH,NGUYÊN PHÓ CHỦ NHIỆM HẬU CẦN QUÂN KHU,I28
ĐẠI TÁ TRẦN THIỆN PHƯỚC,NGUYÊN PHÓ CHỦ NHIỆM HẬU CẦN QUÂN KHU,I30
ĐẠI TÁ LÊ PHÚC THẮNG,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,I32
ĐẠI BIỂU LÃNH ĐẠO TRUNG TÂM PHÁT THANH TRUYỀN HÌNH QUÂN ĐỘI,,J1
ĐẠI BIỂU LÃNH ĐẠO BAN GIÁM ĐỐC BỆNH VIỆN PHỤ SẢN NHI ĐÀ NẴNG,,J3
ĐẠI BIỂU LÃNH ĐẠO BAN GIÁM ĐỐC BỆNH VIỆN C ĐÀ NẴNG,,J5
ĐẠI BIỂU LÃNH ĐẠO ĐẠI HỌC ĐÀ NẴNG,,J7
ĐẠI BIỂU LÃNH ĐẠO BÁO VÀ PHÁT THANH TRUYỀN HÌNH ĐÀ NẴNG,,J9
ĐẠI BIỂU LÃNH ĐẠO BAN GIÁM ĐỐC BỆNH VIỆN MẮT ĐÀ NẴNG,,J11
ĐẠI BIỂU LÃNH ĐẠO BAN GIÁM ĐỐC BỆNH VIỆN ĐA KHOA ĐÀ NẴNG,,J13
